<Phenotype>
taxa	covariate	covariate	covariate	covariate	covariate
Taxa	PC1	PC2	PC3	PC4	PC5
N28Ht:MRG:2:250040201	-0.08046935	0.051874913	0.005721415	0.0067778532	-0.002573064
N6:MRG:2:250040002	-0.021384317	-0.028739382	-0.0077538183	0.0048250933	0.0022522185
N7A:MRG:8:250040820	-0.08059544	0.038543824	0.016494699	0.015633678	-0.04727269
NC222:MRG:2:250040183	-0.004997556	-0.028524974	-0.0065867	4.1150342E-4	-0.009629075
NC230:C08L7ACXX:6:250047946	-0.008734315	-0.03174543	-0.011451515	-0.005534452	-0.0024472156
NC232:MRG:2:250040051	-0.0037628338	-0.023104483	0.034720406	0.0048377113	0.008002494
NC236:MRG:2:250040160	-0.012881989	-0.027306383	-0.0041053016	-0.005470935	0.0023871672
NC238:MRG:2:250040132	0.0097404225	-0.021566646	0.0124786645	-0.016677974	-0.0017543159
NC250:C08L7ACXX:6:250047923	-0.058592156	0.065661326	-0.009797463	-0.012683347	0.078891136
NC258:MRG:2:250040216	-0.016868608	-0.06952671	0.03064065	-0.16246475	-0.022176672
NC260:MRG:2:250040024	-0.038024686	-0.02848298	0.043322045	-0.018976985	0.012379662
NC262:C08L7ACXX:6:250047948	-0.017147208	-0.06868166	0.035718404	-0.17347425	-0.020693889
NC264:MRG:2:250040075	0.040931445	-0.014955891	-0.015935896	0.0030336366	-0.0051194844
NC290A:C08L7ACXX:6:250047937	-0.01523916	-0.06995521	0.03674957	-0.17787719	-0.017828267
NC294:MRG:2:250040036	-0.11378789	0.12334122	-0.029122446	-0.02684383	0.09814625
NC296:MRG:2:250040053	0.13318743	0.042336322	-0.009765663	0.013410222	0.017363558
NC296A:MRG:2:250040056	0.13272361	0.04257769	-0.009387433	0.013885128	0.018211411
NC298:C08L7ACXX:6:250047971	0.12552151	0.039322995	-0.0026391032	0.009145993	0.014378141
NC300:C08L7ACXX:6:250047982	0.105554484	0.026000302	-0.0013325764	-0.0017732197	0.0059068785
NC302:MRG:2:250040180	0.12291664	0.040995844	-0.004484176	0.012377791	0.01603868
NC304:MRG:2:250040169	0.112611935	0.038813405	-0.006005977	0.005884244	0.016071038
NC306:MRG:2:250040076	-0.111638345	0.13525638	-0.035838757	-0.02734381	0.09428231
NC310:MRG:2:250040065	-0.12668408	0.14425683	-0.026911581	-0.021077069	0.07410308
NC314:MRG:2:250040194	-0.10004683	0.12002202	-0.029028773	-0.027386652	0.08830418
NC318:C08L7ACXX:6:250047989	0.03192055	-0.017121598	-0.010248481	8.340731E-4	-0.007129253
NC320:C08L7ACXX:6:250047967	0.040184088	-0.011856036	-0.0027398502	0.0032362256	-0.008296912
NC324:MRG:2:250040069	-0.093028665	0.11949134	-0.028028268	-0.026940852	0.09246377
NC326:MRG:2:250040166	-0.13363229	0.14607203	-0.031928595	-0.023433998	0.06311727
NC328:C08L7ACXX:6:250047932	-0.12553653	0.14137638	-0.028555555	-0.023384165	0.08194111
